student_id,academy_id,course_type,batch,attendance_pct,missed_sessions_count,late_submission_count,days_since_last_activity,quiz_attempt_count,quiz_avg_score,simulator_score_avg,technical_rating,non_technical_rating,instructor_eval_avg,flight_or_sim_hours,progress_pct,schedule_changes_count,prior_intervention_flag,final_outcome
STD_0,A2,Technical,B2,93.20597156588764,2.6794028434112365,7,11.163057389570454,6,84.18427968688707,81.57155306728045,3.8442791911130576,4.084786223565516,4.361877495091608,119.82713921810438,93.77520869598605,2,0,on_track
STD_1,A4,Science,B3,72.89935722086643,4.710064277913356,7,14.655435331390741,13,73.97877393001639,80.62773391396762,4.686137068740834,3.162683894828734,3.638045688537441,77.7183575818399,69.43079413990083,1,0,on_track
STD_2,A3,Arts,B1,88.32898320496312,3.1671016795036877,6,13.11050448122738,1,91.41676632573241,93.19158646015677,3.7918019483598635,4.090494142555338,4.1999595220546055,119.43018164985564,83.99022714808461,4,0,on_track
STD_3,A2,Technical,B1,86.01673550231482,3.3983264497685184,4,9.988851730031648,7,56.67285022322952,53.37907757398478,4.250390317108613,4.323273392945592,3.6679283115768584,59.7315602856183,80.19274855005271,3,0,on_track
STD_4,A1,Science,B1,59.41797257996166,5.058202742003834,6,12.232358845838059,7,51.01713280831606,59.28757581638506,2.355538375040127,3.158141417793726,3.1918660090696522,47.23288006053279,50.26889044198443,4,1,on_track
STD_5,A1,Arts,B3,82.54350607371204,1.7456493926287961,7,5.131894262036619,10,63.17846490640716,57.668579162802935,3.2506465334294257,3.9227043590649666,3.205605894538932,116.8525513660411,75.5440158129173,1,0,on_track
STD_6,A1,Science,B2,79.89412006270028,2.0105879937299718,4,10.39878643614671,13,86.97531400878158,81.15972233664279,4.061367491636838,3.812114694988147,3.6738229702700647,90.09405154064514,87.8215767995725,0,0,on_track
STD_7,A4,Technical,B3,75.45467486241513,3.454532513758487,5,12.407039317067103,7,39.077725982776116,30.0,1.6455695192110786,3.521111915469916,2.7874434907363947,106.14365474880748,60.26988546503523,3,1,critical
STD_8,A3,Arts,B3,73.58442374946928,4.641557625053072,1,1.8049118574304321,12,54.651977465798,50.220229077178416,2.3401839215735833,4.202978006017278,3.3527034040578454,88.78163103691764,71.86183055114893,3,0,needs_attention
STD_9,A3,Science,B2,73.71160125423313,3.6288398745766868,1,10.520575852613005,11,66.26600339578522,76.73573682716348,3.6139291508110785,2.25910831091183,3.2050149616898964,86.71498245650257,69.37557059188478,1,0,on_track
STD_10,A1,Arts,B1,87.19034138465993,3.280965861534007,7,15.121614900078342,10,80.25199996321503,63.673658473835516,3.307200151347223,4.205178364395605,3.3727104690941414,67.03475350984547,78.0279148221768,5,0,on_track
STD_11,A4,Science,B1,83.66865770687265,2.633134229312735,2,5.851682756288813,1,66.3226764238427,58.70731530200895,3.498188093313469,4.955925283034816,4.141015065374081,91.29753748709328,78.60112789920476,5,0,on_track
